Tanggal Pemesanan,No. Transaksi,ID Produk,ID Kustomer,Nama Kustomer,Segmentasi,Kota,Provinsi,Negara,Kategori Produk,Sub Kategori Produk,Nama Produk, Harga Satuan,Kuantitas, Total Penjualan,Metode Pembayaran,Metode Pengiriman, Profit,,Question
1/15/2024,ELX600000,EP33480,CE4680,Opung Uyainah,Home Office,Surabaya,Jawa Timur,Indonesia,Aksesori,Webcam,Logitech Brio Webcam, Rp 8.222.853 ,1, Rp 8.222.853 ,Cash,SiCepat, Rp 1.331.053 ,,"1. Berapa Total Penjualan, Kuantitas, Profit dan Profit Margin ?"
2/16/2024,ELX600001,EP99417,CE9772,Hasta Mandasari,Corporate,Karangasem,Bali,Indonesia,Peralatan Dapur,Blender,Philips Blender HR2221, Rp 16.169.118 ,2, Rp 32.338.236 ,QRIS,SiCepat, Rp 4.906.719 ,,2. Tren penjualan setiap bulan untuk tiap tahun
2/21/2023,ELX600002,EP20323,CE5327,"Irma Napitupulu, S.Kom",Home Office,Semarang,Jawa Tengah,Indonesia,Smartphone,iOS Phone,iPhone SE 2022, Rp 579.996 ,2, Rp 1.159.992 ,Debit,SiCepat, Rp 209.594 ,,3. Komposisi penjualan per segmen
9/8/2024,ELX600003,EP47757,CE5001,Cawuk Mustofa,Consumer,Semarang,Jawa Tengah,Indonesia,Tablet,Android Tablet,Samsung Galaxy Tab S8, Rp 18.421.223 ,2, Rp 36.842.446 ,QRIS,J&T, Rp 2.565.968 ,,4. Top 10 Produk berdasarkan Penjualan
7/6/2024,ELX600004,EP96164,CE6123,Zalindra Adriansyah,Corporate,Depok,Jawa Barat,Indonesia,Monitor,Gaming,ASUS TUF Gaming Monitor, Rp 2.243.022 ,2, Rp 4.486.044 ,Cash,JNE, Rp 754.437 ,,"5. Tampilkan tabel berupa Sub Kategori Produk, Nama Produk, Kuantitas, Total Penjualan dan Profit"
7/27/2023,ELX600005,EP31214,CE7933,Rosman Oktaviani,Home Office,Semarang,Jawa Tengah,Indonesia,Motor Listrik,EV Scooter,Motor Listrik Gesits, Rp 19.263.384 ,2, Rp 38.526.768 ,QRIS,J&T, Rp 5.478.707 ,,6. Tampilkan Timeline per bulan
5/24/2025,ELX600006,EP81358,CE8659,Hesti Kusumo,Corporate,Bogor,Jawa Barat,Indonesia,Aksesori,Webcam,Logitech Brio Webcam, Rp 3.253.360 ,3, Rp 9.760.080 ,QRIS,Ninja Xpress, Rp 1.326.042 ,,"7. Tampilkan Slicer Kota, Metode Pengiriman, Metode Pembayaran dan Segmentasi"
5/13/2024,ELX600007,EP73990,CE4289,"Dt. Hartana Megantara, M.Ak",Home Office,Jakarta Pusat,DKI Jakarta,Indonesia,Kamera,Mirrorless,Canon EOS M50, Rp 3.190.695 ,3, Rp 9.572.085 ,Cash,J&T, Rp 1.890.833 ,,
5/13/2024,ELX600008,EP96381,CE1360,Arsipatra Namaga,Home Office,Yogyakarta,Yogyakarta,Indonesia,Laptop,Gaming,ASUS ROG Strix, Rp 18.412.658 ,2, Rp 36.825.316 ,Cash,JNE, Rp 2.615.216 ,,
10/13/2023,ELX600009,EP17099,CE8873,Hartana Puspasari,Consumer,Depok,Jawa Barat,Indonesia,Televisi,Smart TV,"Smart TV LG 55""", Rp 20.403.843 ,2, Rp 40.807.686 ,Debit,Ninja Xpress, Rp 2.722.614 ,,
